summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,80.0,8.219178082191782,79.3103448275862,7.945205479452055,100.0,0.273972602739726,0.04657534246575343,206.22106754841758
"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,80.0,8.219178082191782,79.3103448275862,7.945205479452055,100.0,0.273972602739726,0.04657534246575343,206.22106754841758
"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,69.6969696969697,9.04109589041096,79.16666666666667,6.575342465753424,44.44444444444444,2.4657534246575343,0.03835616438356165,204.49200913242012
"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,69.6969696969697,9.04109589041096,79.16666666666667,6.575342465753424,44.44444444444444,2.4657534246575343,0.03835616438356165,204.49200913242012
"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,77.41935483870968,8.493150684931507,77.41935483870968,8.493150684931507,,0.0,0.04657534246575344,202.0415377817057
"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,69.44444444444444,9.863013698630136,77.77777777777777,7.397260273972603,44.44444444444444,2.4657534246575343,0.04109589041095889,201.84170471841702
"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,71.05263157894737,10.41095890410959,75.86206896551724,7.945205479452055,55.55555555555556,2.4657534246575343,0.041095890410958895,197.60037789324514
"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,67.6470588235294,9.315068493150685,76.0,6.849315068493151,44.44444444444444,2.4657534246575343,0.03561643835616439,196.84931506849315
"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,66.66666666666667,13.150684931506849,72.97297297297297,10.136986301369864,45.45454545454545,3.0136986301369864,0.04657534246575343,192.56941873380228
"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,66.66666666666667,13.150684931506849,72.97297297297297,10.136986301369864,45.45454545454545,3.0136986301369864,0.04657534246575343,192.56941873380228
