,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
116,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,59.49820788530466,76.43835616438356,60.9375,70.13698630136986,43.47826086956522,6.301369863013699,36821.91780821918
105,"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,59.07335907335907,70.95890410958904,61.18143459915612,64.93150684931507,36.36363636363637,6.027397260273973,34849.31506849316
102,"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,59.30232558139535,70.68493150684931,61.111111111111114,64.10958904109589,41.666666666666664,6.575342465753424,34191.78082191782
115,"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,59.00383141762452,71.5068493150685,60.75949367088607,64.93150684931507,41.666666666666664,6.575342465753424,33534.246575342455
127,"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,58.89328063241107,69.31506849315069,60.96491228070175,62.465753424657535,40.0,6.8493150684931505,32876.71232876712
106,"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,58.89328063241107,69.31506849315069,60.96491228070175,62.465753424657535,40.0,6.8493150684931505,32876.71232876712
36,"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,52.15686274509804,69.86301369863014,58.57988165680474,46.3013698630137,39.53488372093023,23.561643835616437,19068.49315068494
76,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,52.87356321839081,71.5068493150685,56.277056277056275,63.28767123287671,26.666666666666668,8.219178082191782,19068.493150684928
6,"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,65.27777777777777,19.726027397260275,70.3125,17.534246575342465,25.0,2.191780821917808,17095.890410958906
74,"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,52.610441767068274,68.21917808219177,56.01851851851852,59.178082191780824,30.303030303030305,9.04109589041096,17095.890410958906
18,"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,74.07407407407408,14.794520547945206,74.07407407407408,14.794520547945206,,0.0,17095.890410958906
10,"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,72.72727272727273,15.068493150684931,72.72727272727273,15.068493150684931,,0.0,16438.356164383567
4,"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,64.78873239436619,19.45205479452055,69.84126984126983,17.26027397260274,25.0,2.191780821917808,16438.356164383553
17,"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,73.07692307692308,14.246575342465754,73.07692307692308,14.246575342465754,,0.0,15780.821917808224
1,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,68.25396825396825,17.26027397260274,69.35483870967742,16.986301369863014,0.0,0.273972602739726,15780.821917808224
0,"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,70.0,16.438356164383563,70.0,16.438356164383563,,0.0,15780.821917808224
14,"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,70.0,16.438356164383563,70.0,16.438356164383563,,0.0,15780.821917808224
8,"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,73.07692307692308,14.246575342465754,73.07692307692308,14.246575342465754,,0.0,15780.821917808224
11,"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,70.6896551724138,15.89041095890411,70.6896551724138,15.89041095890411,,0.0,15780.821917808218
48,"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,49.6031746031746,69.04109589041096,57.59493670886076,43.28767123287671,36.170212765957444,25.753424657534246,15780.821917808214
35,"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,49.6031746031746,69.04109589041096,57.59493670886076,43.28767123287671,36.170212765957444,25.753424657534246,15780.821917808214
65,"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,52.191235059760956,68.76712328767124,55.203619909502265,60.54794520547945,30.0,8.219178082191782,15123.287671232885
2,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,55.75221238938053,30.958904109589042,67.6923076923077,17.80821917808219,39.583333333333336,13.150684931506849,15123.287671232874
3,"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,63.768115942028984,18.904109589041095,68.85245901639344,16.71232876712329,25.0,2.191780821917808,15123.287671232874
5,"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,63.768115942028984,18.904109589041095,68.85245901639344,16.71232876712329,25.0,2.191780821917808,15123.287671232874
64,"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,51.821862348178136,67.67123287671232,55.39906103286385,58.35616438356164,29.41176470588235,9.315068493150685,15123.287671232873
75,"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,52.10084033613445,65.20547945205479,55.33980582524272,56.43835616438356,31.25,8.767123287671232,14465.753424657541
94,"(30,30,30,0.4,0.4,T/L,earnings)",30,30,30,0.4,0.4,T/L,earnings,52.10084033613445,65.20547945205479,55.33980582524272,56.43835616438356,31.25,8.767123287671232,14465.753424657541
7,"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,72.0,13.698630136986301,72.0,13.698630136986301,,0.0,14465.753424657534
34,"(15,15,15,0.4,0.4,W-L,earnings)",15,15,15,0.4,0.4,W-L,earnings,49.44649446494465,74.24657534246575,55.55555555555556,44.38356164383562,40.36697247706422,29.863013698630137,11835.616438356172
77,"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,50.71090047393365,57.80821917808219,55.625,43.83561643835616,35.294117647058826,13.972602739726028,11835.616438356165
