summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,59.40594059405941,27.671232876712327,70.6896551724138,15.89041095890411,44.18604651162791,11.780821917808218,0.06575342465753423,0.3287671232876712,722.786962683042,79.45205479452055
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,70.73170731707317,11.232876712328768,70.0,10.95890410958904,100.0,0.273972602739726,0.04383561643835618,0.2191780821917809,710.9589041095891,54.794520547945204
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,70.73170731707317,11.232876712328768,70.0,10.95890410958904,100.0,0.273972602739726,0.04383561643835618,0.2191780821917809,710.9589041095891,54.794520547945204
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,66.66666666666667,12.32876712328767,70.0,10.95890410958904,40.0,1.36986301369863,0.04383561643835618,0.2191780821917809,710.9589041095891,54.794520547945204
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,70.0,10.95890410958904,70.0,10.95890410958904,,0.0,0.04383561643835618,0.2191780821917809,710.9589041095891,54.794520547945204
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,58.94736842105263,26.02739726027397,69.64285714285714,15.342465753424657,43.58974358974359,10.684931506849315,0.06027397260273972,0.30136986301369856,711.771037181996,76.71232876712328
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,58.94736842105263,26.02739726027397,69.64285714285714,15.342465753424657,43.58974358974359,10.684931506849315,0.06027397260273972,0.30136986301369856,711.771037181996,76.71232876712328
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,67.24137931034483,15.89041095890411,69.56521739130434,12.602739726027398,58.333333333333336,3.287671232876712,0.049315068493150684,0.24657534246575338,708.2549136390709,63.013698630136986
"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,62.0,13.6986301369863,69.23076923076923,10.684931506849315,36.36363636363637,3.0136986301369864,0.0410958904109589,0.2054794520547945,702.9926238145416,53.42465753424658
"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,62.0,13.6986301369863,69.23076923076923,10.684931506849315,36.36363636363637,3.0136986301369864,0.0410958904109589,0.2054794520547945,702.9926238145416,53.42465753424658
"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,62.0,13.6986301369863,69.23076923076923,10.684931506849315,36.36363636363637,3.0136986301369864,0.0410958904109589,0.2054794520547945,702.9926238145416,53.42465753424658
"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,62.0,13.6986301369863,69.23076923076923,10.684931506849315,36.36363636363637,3.0136986301369864,0.0410958904109589,0.2054794520547945,702.9926238145416,53.42465753424658
