Unnamed: 0,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria3,proyected_part_above,criteria2
0,"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
10,"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
4,"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
8,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
6,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
2,"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
7,"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
3,"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
24,"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
11,"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
12,"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
16,"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
17,"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
21,"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
25,"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
1,"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,0.04657534246575342,693.7277761585543,64.38356164383562,0.2328767123287671
115,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,64.28571428571429,11.506849315068491,64.28571428571429,11.506849315068491,,0.0,0.03287671232876713,654.3639921722114,57.53424657534246,0.16438356164383566
81,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,60.31746031746032,17.26027397260274,60.31746031746032,17.26027397260274,,0.0,0.03561643835616441,620.434877147206,86.30136986301369,0.17808219178082202
