summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(30,30,30,1.6,1.6,W-L,wins)",30,30,30,1.6,1.6,W-L,wins,85.71428571428571,1.917808219178082,85.71428571428571,1.917808219178082,,0.0,0.0136986301369863,216.20352250489236
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,54.07407407407408,73.97260273972603,55.96707818930041,66.57534246575342,37.03703703703704,7.397260273972603,0.07945205479452055,206.49303793900447
"(30,30,30,1.6,1.6,W/T,wins)",30,30,30,1.6,1.6,W/T,wins,77.77777777777777,2.4657534246575343,77.77777777777777,2.4657534246575343,,0.0,0.013698630136986299,196.91019786910195
"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,48.795180722891565,45.47945205479452,73.91304347826087,6.301369863013699,44.75524475524475,39.17808219178082,0.030136986301369875,191.08397855866588
"(60,60,60,0.8,0.8,T/L,earnings)",60,60,60,0.8,0.8,T/L,earnings,53.15315315315316,30.410958904109588,72.0,6.849315068493151,47.674418604651166,23.56164383561644,0.030136986301369864,186.84931506849315
"(60,60,60,0.8,0.8,W/L,earnings)",60,60,60,0.8,0.8,W/L,earnings,53.15315315315316,30.410958904109588,72.0,6.849315068493151,47.674418604651166,23.56164383561644,0.030136986301369864,186.84931506849315
"(60,60,60,1.2,1.2,W-L,wins)",60,60,60,1.2,1.2,W-L,wins,56.75675675675676,20.273972602739725,72.22222222222223,4.931506849315069,51.785714285714285,15.342465753424657,0.021917808219178093,185.48706240487064
"(60,60,60,0.8,0.8,W-L,earnings)",60,60,60,0.8,0.8,W-L,earnings,52.54237288135593,32.32876712328767,70.83333333333333,6.575342465753424,47.87234042553192,25.753424657534246,0.02739726027397259,183.65867579908675
"(60,60,60,1.2,1.2,W/T,wins)",60,60,60,1.2,1.2,W/T,wins,55.71428571428572,19.17808219178082,70.58823529411765,4.657534246575342,50.943396226415096,14.52054794520548,0.019178082191780826,181.1281224818695
"(15,15,15,1.2,1.2,W/L,wins)",15,15,15,1.2,1.2,W/L,wins,72.72727272727273,6.027397260273973,70.0,5.47945205479452,100.0,0.547945205479452,0.02191780821917809,180.4794520547945
"(15,15,15,1.2,1.2,T/L,wins)",15,15,15,1.2,1.2,T/L,wins,72.72727272727273,6.027397260273973,70.0,5.47945205479452,100.0,0.547945205479452,0.02191780821917809,180.4794520547945
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,45.39007092198582,38.63013698630137,66.66666666666667,12.32876712328767,35.416666666666664,26.301369863013697,0.04109589041095892,178.99543378995435
"(60,60,60,1.2,1.2,W/L,wins)",60,60,60,1.2,1.2,W/L,wins,63.63636363636363,9.04109589041096,67.74193548387096,8.493150684931507,0.0,0.547945205479452,0.030136986301369854,177.84798939460893
"(60,60,60,1.2,1.2,T/L,wins)",60,60,60,1.2,1.2,T/L,wins,63.63636363636363,9.04109589041096,67.74193548387096,8.493150684931507,0.0,0.547945205479452,0.030136986301369854,177.84798939460893
"(60,60,60,0.8,0.8,W/T,earnings)",60,60,60,0.8,0.8,W/T,earnings,51.66666666666666,32.87671232876713,68.0,6.849315068493151,47.36842105263158,26.02739726027397,0.024657534246575352,176.84931506849315
"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,46.91358024691358,44.38356164383562,68.0,6.849315068493151,43.065693430656935,37.53424657534247,0.024657534246575352,176.84931506849315
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,44.71544715447155,33.6986301369863,65.9090909090909,12.054794520547944,32.91139240506329,21.64383561643836,0.03835616438356163,176.8275217932752
"(30,30,30,1.6,1.6,W/L,earnings)",30,30,30,1.6,1.6,W/L,earnings,69.23076923076923,3.5616438356164384,69.23076923076923,3.5616438356164384,,0.0,0.0136986301369863,176.63856691253952
"(30,30,30,1.6,1.6,W/T,earnings)",30,30,30,1.6,1.6,W/T,earnings,69.23076923076923,3.5616438356164384,69.23076923076923,3.5616438356164384,,0.0,0.0136986301369863,176.63856691253952
"(30,30,30,1.6,1.6,W-L,earnings)",30,30,30,1.6,1.6,W-L,earnings,69.23076923076923,3.5616438356164384,69.23076923076923,3.5616438356164384,,0.0,0.0136986301369863,176.63856691253952
"(30,30,30,1.6,1.6,T/L,earnings)",30,30,30,1.6,1.6,T/L,earnings,69.23076923076923,3.5616438356164384,69.23076923076923,3.5616438356164384,,0.0,0.0136986301369863,176.63856691253952
"(15,15,15,1.2,1.2,W/T,earnings)",15,15,15,1.2,1.2,W/T,earnings,66.66666666666667,7.397260273972603,68.75,4.383561643835616,63.63636363636363,3.0136986301369864,0.016438356164383564,176.2585616438356
"(30,30,30,1.2,1.2,W/T,wins)",30,30,30,1.2,1.2,W/T,wins,68.75,4.383561643835616,68.75,4.383561643835616,,0.0,0.016438356164383564,176.2585616438356
"(30,30,30,1.2,1.2,W-L,wins)",30,30,30,1.2,1.2,W-L,wins,68.75,4.383561643835616,68.75,4.383561643835616,,0.0,0.016438356164383564,176.2585616438356
"(15,15,15,1.2,1.2,W-L,earnings)",15,15,15,1.2,1.2,W-L,earnings,66.66666666666667,7.397260273972603,68.75,4.383561643835616,63.63636363636363,3.0136986301369864,0.016438356164383564,176.2585616438356
"(15,15,15,1.6,1.6,W-L,wins)",15,15,15,1.6,1.6,W-L,wins,71.42857142857143,5.753424657534247,68.42105263157895,5.205479452054795,100.0,0.547945205479452,0.019178082191780826,176.25811103100216
"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,58.0,13.6986301369863,66.66666666666667,8.219178082191782,45.0,5.47945205479452,0.02739726027397262,174.88584474885846
"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,44.33962264150944,58.08219178082192,63.63636363636363,15.068493150684931,37.5796178343949,43.013698630136986,0.0410958904109589,174.15940224159402
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,53.47222222222222,39.45205479452055,56.89655172413793,31.78082191780822,39.285714285714285,7.671232876712328,0.04383561643835618,174.02220122815305
