,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
36,"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,58.97435897435897,85.47945205479452,59.92217898832685,70.41095890410959,54.54545454545455,15.068493150684931,33534.24657534248
40,"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,58.860759493670884,86.57534246575342,59.770114942528735,71.5068493150685,54.54545454545455,15.068493150684931,33534.24657534247
73,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,58.8235294117647,60.54794520547945,58.8235294117647,60.54794520547945,,0.0,25643.835616438348
67,"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,58.94736842105263,26.027397260273972,58.94736842105263,26.027397260273972,,0.0,11178.08219178082
16,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,78.57142857142857,7.671232876712328,78.57142857142857,7.671232876712328,,0.0,10520.547945205479
100,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,56.89655172413793,31.78082191780822,56.89655172413793,31.78082191780822,,0.0,10520.547945205477
60,"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,57.72357723577236,33.6986301369863,60.294117647058826,18.63013698630137,54.54545454545455,15.068493150684931,9205.479452054797
34,"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,55.84415584415584,42.19178082191781,56.56565656565657,27.123287671232877,54.54545454545455,15.068493150684931,8547.945205479455
0,"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
25,"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
22,"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
23,"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
24,"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
29,"(7,7,7,1.6,1.6,T/L,earnings)",7,7,7,1.6,1.6,T/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
26,"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
28,"(7,7,7,1.6,1.6,W/T,earnings)",7,7,7,1.6,1.6,W/T,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
20,"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
30,"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
31,"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
21,"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
27,"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
19,"(7,7,7,1.6,1.6,W/L,earnings)",7,7,7,1.6,1.6,W/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
8,"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
2,"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
3,"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
4,"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
5,"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
18,"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
6,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
7,"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
1,"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
9,"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
13,"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
17,"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
10,"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
15,"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
11,"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
12,"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
14,"(7,7,7,1.6,1.6,W-L,earnings)",7,7,7,1.6,1.6,W-L,earnings,80.95238095238095,5.7534246575342465,80.95238095238095,5.7534246575342465,,0.0,8547.945205479451
96,"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,68.96551724137932,7.945205479452055,68.96551724137932,7.945205479452055,,0.0,7232.87671232877
119,"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,70.37037037037037,7.397260273972603,70.37037037037037,7.397260273972603,,0.0,7232.876712328766
109,"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
126,"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
105,"(60,60,60,0.8,0.8,W-L,earnings)",60,60,60,0.8,0.8,W-L,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
103,"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
102,"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
101,"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
110,"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
98,"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
116,"(60,60,60,0.8,0.8,W/T,earnings)",60,60,60,0.8,0.8,W/T,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
77,"(30,30,30,1.2,1.2,W/T,wins)",30,30,30,1.2,1.2,W/T,wins,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
120,"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
125,"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
107,"(60,60,60,0.8,0.8,W/L,earnings)",60,60,60,0.8,0.8,W/L,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
127,"(60,60,60,0.8,0.8,T/L,earnings)",60,60,60,0.8,0.8,T/L,earnings,69.56521739130434,6.301369863013699,69.56521739130434,6.301369863013699,,0.0,5917.808219178082
91,"(30,30,30,1.6,1.6,W/T,wins)",30,30,30,1.6,1.6,W/T,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
74,"(30,30,30,0.4,0.4,T/L,earnings)",30,30,30,0.4,0.4,T/L,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
79,"(30,30,30,0.8,0.8,W/T,earnings)",30,30,30,0.8,0.8,W/T,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
80,"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
81,"(30,30,30,1.2,1.2,T/L,wins)",30,30,30,1.2,1.2,T/L,wins,72.22222222222223,4.931506849315069,72.22222222222223,4.931506849315069,,0.0,5260.273972602741
